"time","amplitude"
5.10, -0.00174103
5.11, -0.000794871
5.12, 0.000199991
5.13, 0.00111957
5.14, 0.00183987
5.15, 0.00223693
5.16, 0.00242342
5.17, 0.00258022
5.18, 0.00270049
5.19, 0.0027774
5.20, 0.00280408
5.21, 0.00266044
5.22, 0.00229052
5.23, 0.00177495
5.24, 0.00119433
5.25, 0.000629264
5.26, 5.98043e-05
5.27, -0.000577572
5.28, -0.0012737
5.29, -0.00201944
5.30, -0.0028056
5.31, -0.00369978
5.32, -0.00471507
5.33, -0.00576691
5.34, -0.00677074
5.35, -0.00764203
5.36, -0.008398
5.37, -0.00910569
5.38, -0.00976138
5.39, -0.0103614
5.40, -0.0109019
5.41, -0.0113832
5.42, -0.0118179
5.43, -0.0122213
5.44, -0.0126088
5.45, -0.0129958
5.46, -0.0134385
5.47, -0.0139256
5.48, -0.0143745
5.49, -0.0147028
5.50, -0.0148282
5.51, -0.0148155
5.52, -0.0147798
5.53, -0.014724
5.54, -0.014651
5.55, -0.0145637
5.56, -0.0143609
5.57, -0.0139881
5.58, -0.0135093
5.59, -0.0129884
5.60, -0.0124893
5.61, -0.0119908
5.62, -0.0114486
5.63, -0.0108867
5.64, -0.0103289
5.65, -0.00979921
5.66, -0.00929722
5.67, -0.00880671
5.68, -0.00832632
5.69, -0.00785467
5.70, -0.0073904
5.71, -0.00691795
5.72, -0.00643852
5.73, -0.00597444
5.74, -0.00554805
5.75, -0.00518168
5.76, -0.00486013
5.77, -0.00456023
5.78, -0.0042897
5.79, -0.00405629
5.80, -0.00386771
5.81, -0.00371067
5.82, -0.00356969
5.83, -0.00344767
5.84, -0.0033475
5.85, -0.00327207
5.86, -0.00321401
5.87, -0.00316426
5.88, -0.00312244
5.89, -0.00308819
5.90, -0.00306114
5.91, -0.00304261
5.92, -0.00303047
5.93, -0.00301937
5.94, -0.00300394
5.95, -0.0029788
5.96, -0.00282081
5.97, -0.00246929
5.98, -0.00200224
5.99, -0.00149765
6.00, -0.0010335
6.01, -0.000559298
6.02, -2.52146e-05
6.03, 0.000499737
6.04, 0.000946546
6.05, 0.00124622
6.06, 0.00144711
6.07, 0.00162821
6.08, 0.0017751
6.09, 0.00187337
6.10, 0.00190862
6.11, 0.0018839
6.12, 0.00181684
6.13, 0.00171596
6.14, 0.00158981
6.15, 0.00144688
6.16, 0.0012134
6.17, 0.000850622
6.18, 0.000412393
6.19, -4.74567e-05
6.20, -0.000475104
6.21, -0.000906044
6.22, -0.0013739
6.23, -0.0018293
6.24, -0.00222286
6.25, -0.00250523
6.26, -0.00269188
6.27, -0.00283981
6.28, -0.00296627
6.29, -0.00308851
6.30, -0.00322377
6.31, -0.0033629
6.32, -0.0034951
6.33, -0.00363304
6.34, -0.0037894
6.35, -0.00397686
6.36, -0.00423145
6.37, -0.00455688
6.38, -0.00491994
6.39, -0.00528742
6.40, -0.00562612
6.41, -0.00596854
6.42, -0.0063351
6.43, -0.00668016
6.44, -0.00695809
6.45, -0.00712326
6.46, -0.00721415
6.47, -0.00729235
6.48, -0.0073535
6.49, -0.00739322
6.50, -0.00740714
6.51, -0.00739667
6.52, -0.00737224
6.53, -0.00734325
6.54, -0.00731909
6.55, -0.0073092
6.56, -0.00734796
6.57, -0.00743846
6.58, -0.00754585
6.59, -0.0076353
6.60, -0.00767197
6.61, -0.00760141
6.62, -0.0074184
6.63, -0.00715919
6.64, -0.00686005
6.65, -0.0065572
6.66, -0.00618043
6.67, -0.00569588
6.68, -0.00518443
6.69, -0.00472694
6.70, -0.00440424
6.71, -0.00419649
6.72, -0.00402639
6.73, -0.00388112
6.74, -0.00374784
6.75, -0.00361376
6.76, -0.00347354
6.77, -0.00333489
6.78, -0.00320486
6.79, -0.00309055
6.80, -0.00299902
6.81, -0.00291911
6.82, -0.00284186
6.83, -0.00277603
6.84, -0.00273036
6.85, -0.00271359
6.86, -0.0027479
6.87, -0.00282791
6.88, -0.00292282
6.89, -0.00300187
6.90, -0.00303425
6.91, -0.00301488
6.92, -0.00296646
6.93, -0.00290157
6.94, -0.00283279
6.95, -0.00277268
6.96, -0.0027241
6.97, -0.00267873
6.98, -0.00263178
6.99, -0.00257846
7.00, -0.00251397
7.01, -0.00243185
7.02, -0.00233056
7.03, -0.00221242
7.04, -0.00207975
7.05, -0.00193486
7.06, -0.00173762
7.07, -0.00148255
7.08, -0.0012193
7.09, -0.00099746
7.10, -0.00086665
7.11, -0.0007992
7.12, -0.000740919
7.13, -0.000695197
7.14, -0.000665426
7.15, -0.000655029
7.16, -0.00078217
7.17, -0.00110766
7.18, -0.0015608
7.19, -0.00207086
7.20, -0.00256717
7.21, -0.00309215
7.22, -0.00369983
7.23, -0.00434722
7.24, -0.00499131
7.25, -0.00558913
7.26, -0.00615466
7.27, -0.00671625
7.28, -0.00725733
7.29, -0.00776134
7.30, -0.00821172
7.31, -0.00866225
7.32, -0.00912812
7.33, -0.00954245
7.34, -0.00983841
7.35, -0.00994913
7.36, -0.0099381
7.37, -0.00990775
7.38, -0.00986111
7.39, -0.00980117
7.40, -0.00973094
7.41, -0.00957436
7.42, -0.00930254
7.43, -0.00898054
7.44, -0.00867341
7.45, -0.0084462
7.46, -0.00827366
7.47, -0.00810564
7.48, -0.00796173
7.49, -0.00786157
7.50, -0.00782476
7.51, -0.00783112
7.52, -0.00784878
7.53, -0.00787627
7.54, -0.00791213
7.55, -0.0079549
7.56, -0.00804691
7.57, -0.00821291
7.58, -0.00842975
7.59, -0.00867425
7.60, -0.00892328
7.61, -0.00920465
7.62, -0.00953931
7.63, -0.00989896
7.64, -0.0102553
7.65, -0.01058
7.66, -0.0108861
7.67, -0.0111922
7.68, -0.0114827
7.69, -0.0117415
7.70, -0.011953
7.71, -0.0121325
7.72, -0.012299
7.73, -0.0124443
7.74, -0.0125605
7.75, -0.0126396
7.76, -0.0126963
7.77, -0.012747
7.78, -0.0127878
7.79, -0.0128149
7.80, -0.0128246
7.81, -0.012796
7.82, -0.01272
7.83, -0.012608
7.84, -0.0124713
7.85, -0.0123213
7.86, -0.0121161
7.87, -0.0118266
7.88, -0.0114778
7.89, -0.0110948
7.90, -0.0107026
7.91, -0.0102769
7.92, -0.00979599
7.93, -0.00928354
7.94, -0.00876323
7.95, -0.0082587
7.96, -0.00776044
7.97, -0.00725366
7.98, -0.00675086
7.99, -0.00626453
8.00, -0.00580712
8.01, -0.00536294
8.02, -0.00492282
8.03, -0.00450604
8.04, -0.00413193
8.05, -0.00381979
8.06, -0.00354423
8.07, -0.0032825
8.08, -0.00305322
8.09, -0.00287496
8.10, -0.00276632
8.11, -0.00270061
8.12, -0.00264393
8.13, -0.00259954
8.14, -0.00257068
8.15, -0.00256061
8.16, -0.00257877
8.17, -0.00262385
8.18, -0.00268393
8.19, -0.00274707
8.20, -0.00280136
8.21, -0.00285441
8.22, -0.00291351
8.23, -0.00296834
8.24, -0.00300854
8.25, -0.0030238
8.26, -0.00301528
8.27, -0.00299551
8.28, -0.00297208
8.29, -0.0029526
8.30, -0.00294465
8.31, -0.00294903
8.32, -0.0029609
8.33, -0.00297891
8.34, -0.00300171
8.35, -0.00302795
8.36, -0.00308838
8.37, -0.00319065
8.38, -0.0033028
8.39, -0.00339286
8.40, -0.0034289
8.41, -0.00341825
8.42, -0.00338914
8.43, -0.00334461
8.44, -0.00328771
8.45, -0.00322146
8.46, -0.00309187
8.47, -0.00287392
8.48, -0.00260713
8.49, -0.00233103
8.50, -0.00208516
8.51, -0.00186749
8.52, -0.00165248
8.53, -0.00144051
8.54, -0.00123192
8.55, -0.0010271
8.56, -0.000826958
8.57, -0.000631078
8.58, -0.000437864
8.59, -0.000245725
8.60, -5.30627e-05
8.61, 0.000166621
8.62, 0.000410679
8.63, 0.00064056
8.64, 0.000817712
8.65, 0.000903607
8.66, 0.000931114
8.67, 0.000953533
8.68, 0.000970257
8.69, 0.000980677
8.70, 0.000984161
8.71, 0.000922718
8.72, 0.000769793
8.73, 0.000564645
8.74, 0.000346539
8.75, 0.000154722
8.76, -1.66206e-05
8.77, -0.000192498
8.78, -0.000366934
8.79, -0.000533956
8.80, -0.000687583
8.81, -0.000820424
8.82, -0.000937949
8.83, -0.00105296
8.84, -0.00117827
8.85, -0.00132666
8.86, -0.00150981
8.87, -0.0017244
8.88, -0.00196111
8.89, -0.0022106
8.90, -0.00246355
8.91, -0.00273167
8.92, -0.00302147
8.93, -0.00331838
8.94, -0.00360784
8.95, -0.00387531
8.96, -0.00411467
8.97, -0.00433691
8.98, -0.00455351
8.99, -0.00477595
9.00, -0.0050157
9.01, -0.005275
9.02, -0.0055474
9.03, -0.00583057
9.04, -0.00612219
9.05, -0.00641991
9.06, -0.00674638
9.07, -0.00710223
9.08, -0.00745566
9.09, -0.00777491
9.10, -0.0080282
9.11, -0.0082363
9.12, -0.00842995
9.13, -0.00859807
9.14, -0.0087296
9.15, -0.00881346
9.16, -0.00886849
9.17, -0.00891657
9.18, -0.00895461
9.19, -0.00897954
9.20, -0.00898826
